train_accuracy: 0.4076158940397351 test_accuracy: 0.38609271523178806
epoch1 33380.30155849457s
(7550, 1, 192, 192)
train loss:1.0631734731050393
=== epoch:1, train acc:0.406, test acc:0.401 ===
train loss:1.085642573983513
train loss:1.0575148144980293
train loss:1.0293469846459207
train loss:1.090644042034813
train loss:1.069363511723048
train loss:0.9984078043852963
train loss:1.0492779466825415
train loss:1.0697020801209813
train loss:1.0521459365899408
train loss:1.0117499350234176
train loss:1.060792010877211
train loss:1.0576333409988898
train loss:1.063514964623937
train loss:1.0413361534162264
train loss:1.0285577298200668
train loss:1.0155384783337313
train loss:1.05529736964703
train loss:1.047099105032852
train loss:1.0648005258889897
train loss:1.0351604245571193
train loss:1.0220251097420319
train loss:1.0193256420655998
train loss:1.0354247710439772
train loss:1.0715604593981671
train loss:1.0343542518897026
train loss:1.0441420372251988
train loss:1.0417649534059807
train loss:1.0001560731441956
train loss:0.9947902897403254
train loss:1.005852439493614
train loss:0.9966828488374391
train loss:1.003045847633122
train loss:1.0375467334517563
train loss:1.0004649110134465
train loss:0.976008303546523
train loss:1.0250115701404572
train loss:1.0241105986748074
train loss:0.9851911188722707
train loss:1.0187364456742314
train loss:0.9772666946915706
train loss:0.970220988600583
train loss:0.9356778770943497
train loss:0.9642562166512059
train loss:0.9348343078240684
train loss:0.9301214139215869
train loss:0.9209783660927487
train loss:0.8748996329122747
train loss:0.8390422401558573
train loss:0.8396555751630741
train loss:0.890879473137191
train loss:0.8709703653495642
train loss:0.8257116962120974
train loss:0.8120544025640519
train loss:0.7847291859025973
train loss:0.7698381799875346
train loss:0.7820435989102039
train loss:0.6848934699398543
train loss:0.7734300198250383
train loss:0.6780332940622859
train loss:0.7542249675648818
train loss:0.6767267357833324
train loss:0.6751338686535671
train loss:0.5729449455768009
train loss:0.526335498971314
train loss:0.597312932314871
train loss:0.586409282494765
train loss:0.5291305110257265
train loss:0.4714561585958809
train loss:0.5481668085288907
train loss:0.5939022484730708
train loss:0.44840867187904215
train loss:0.4232720369431995
train loss:0.41207873315970467
train loss:0.38361535215320025
train loss:0.39622388616161763
train loss:0.37963985181596355
train loss:0.4048675000498193
train loss:0.30907753135251714
train loss:0.3161314400150136
train loss:0.3649516624672382
train loss:0.2977901933030337
train loss:0.44386944358291297
train loss:0.31190180763473047
train loss:0.3526032223077329
train loss:0.3807648553773624
train loss:0.4200187451509687
train loss:0.2996989275979477
train loss:0.3055933158493867
train loss:0.28652689243218893
train loss:0.30112421064797457
train loss:0.3532818285464427
train loss:0.2826059477843918
train loss:0.4197205770345635
train loss:0.3993719173893512
train loss:0.3353359103604761
train loss:0.33712917270114473
train loss:0.27737414568461505
train loss:0.3080185672528811
train loss:0.29122217519046834
train loss:0.30911417660124574
train loss:0.2784628979447297
train loss:0.28369283176153187
train loss:0.32342912811466495
train loss:0.4005827070654499
train loss:0.3394357645305475
train loss:0.22799265452266276
train loss:0.28416955836730945
train loss:0.2876729663156528
train loss:0.26270536710434983
train loss:0.2349111564665439
train loss:0.198405997651368
train loss:0.1574528750822988
train loss:0.16205659244687382
train loss:0.2541974455271752
train loss:0.21381349453509405
train loss:0.16998542446722686
train loss:0.18576381039798712
train loss:0.16269050292884069
train loss:0.21155659389633424
train loss:0.22786786564556963
train loss:0.20213762523852918
train loss:0.18497727731526237
train loss:0.18380779513800508
train loss:0.4172080096055176
train loss:0.16369392201107144
train loss:0.2081637347672516
train loss:0.21741141317565177
train loss:0.2628520984829489
train loss:0.2328569205702604
train loss:0.24978095567988098
train loss:0.294529633532929
train loss:0.2292466130868909
train loss:0.1624022313136525
train loss:0.16794399476177074
train loss:0.16619042360116296
train loss:0.17654003077327832
train loss:0.10855008978893643
train loss:0.18508997697647872
train loss:0.1658158159473987
train loss:0.22762255914708668
train loss:0.2893707479449903
train loss:0.19499049084831757
train loss:0.16891416981878593
train loss:0.2405287831009884
train loss:0.27406177501074386
train loss:0.11824059623432938
train loss:0.14727609151206722
train loss:0.26486698193225666
train loss:0.14275407730063455
train loss:0.1734989159279208
train loss:0.1610341954801183
train loss:0.15848224587308166
train loss:0.14924165588301044
train loss:0.20169491591025934
train loss:0.16806030739602906
train loss:0.15545463955037822
train loss:0.10682622784033464
train loss:0.24475896155635987
train loss:0.19512699368016817
train loss:0.08805095502581756
train loss:0.12152489550489194
train loss:0.1982336877971565
train loss:0.12301451671612272
train loss:0.13428117691067148
train loss:0.17076844415978126
train loss:0.1372787479201103
train loss:0.1962190565118286
train loss:0.1317164803759102
train loss:0.11766822918172525
train loss:0.1033031542172976
train loss:0.11380663661018961
train loss:0.10878863752918122
train loss:0.12932527108686095
train loss:0.12089425972214872
train loss:0.21017728750142914
train loss:0.12410788772344825
train loss:0.09478026185239412
train loss:0.12193100101652493
train loss:0.16711245681055575
train loss:0.12183109799910712
train loss:0.08720382787599981
train loss:0.14008663505316019
train loss:0.1713315771694865
train loss:0.11472779772754428
train loss:0.1460295742658934
train loss:0.14687112395482135
train loss:0.1963567835427318
train loss:0.15458675227603252
train loss:0.1704876676202447
train loss:0.12382935357049654
train loss:0.18876200228706463
train loss:0.10545717746608195
train loss:0.1154182138409645
train loss:0.10235595061260103
train loss:0.16876506678701733
train loss:0.06324708322616118
train loss:0.07025748094553495
train loss:0.08782456749322072
train loss:0.13418289690392682
train loss:0.10353681913695462
train loss:0.17584160368163185
train loss:0.10846688183982131
train loss:0.10270240131876524
train loss:0.04956314262815789
train loss:0.22324847881626095
train loss:0.050912166381977556
train loss:0.18032098605233884
train loss:0.1281102483047016
train loss:0.08386846884782402
train loss:0.07239639331258783
train loss:0.11540969766628802
train loss:0.09847046932131709
train loss:0.093210149153711
